release            secs         error(%)
1_8_0	9.883043488	0.25%
1_9_0	8.889300201	0.09%
2_0_0	8.172728006	0.22%
2_1_0	8.352471553	0.37%
2_1_1	8.382326286	0.43%
2_2_0	7.768856426	0.55%
2_3_0	8.814267878	0.47%
2_4_0	8.383203835	0.47%
2_5_0	8.368028381	0.63%
2_6_0	8.292280282	0.40%
2_7_0	7.614940353	0.53%
2_8_0	7.492562325	0.42%
2_9_0	9.437535389	0.29%
2_9_1	8.744459705	0.30%
2_10_0	8.165184213	0.50%
2_10_1	8.154784983	0.60%
2_11_0	8.502190304	0.70%
3_0_0	10.086863290	0.55%
3_1_0	10.527375496	0.06%
3_2_0	10.879345062	0.19%
3_3_0	10.776853741	1.42%
3_4_0	11.436597522	0.49%
3_5_0	11.405430639	1.46%
3_6_0	10.364548200	1.64%
3_7_0	10.164760021	0.31%
3_8_0	9.416783644	0.32%
3_9_0	9.544491018	0.31%
3_10_0	10.144179660	0.37%
3_11_0	10.056918352	0.35%
4_0_0	9.614998544	0.36%
4_1_0	9.506818520	0.16%
4_2_0	9.871481188	1.60%
4_3_0	9.967648008	0.29%
4_4_0	10.216574730	1.76%
4_5_0	9.899043131	1.17%
4_6_0	9.480718387	0.44%
4_7_0	9.430881797	0.20%
4_8_0	9.532461810	0.56%
4_9_0	9.503186442	0.13%
4_10_0	9.582978344	0.25%
4_11_0	9.809432968	0.75%
5_0_0	9.809035809	0.25%
5_1_0	9.797141010	0.46%
5_2_0	9.776151688	0.31%
5_3_0	10.248564329	0.33%
5_4_0	10.249601501	0.37%
5_5_0	10.173360877	0.47%
5_6_0	10.127534872	0.56%
5_7_0	10.243308239	0.46%
5_9_0	10.509155960	1.35%
5_10_0	9.833842408	0.67%
6_0_0	10.268596974	0.50%
6_1_0	10.088142136	0.38%
06model	10.063883400	0.57%
6_2_0	10.842009421	3.24%
6_3_0	10.338726597	1.22%
6_4_0	10.414573971	1.78%
6_5_0	9.974288080	0.82%
0pcc-gh1080	9.983601378	0.62%
0pcc-opt-gh1080	9.922228798	0.35%
