release            secs         error(%)
1_8_0	13.819584600	0.20%
1_9_0	12.588136642	0.27%
2_0_0	11.388492659	0.28%
2_10_0	10.352434796	0.35%
2_10_1	10.411555065	0.60%
2_11_0	10.482614307	0.35%
2_1_0	10.960937956	0.82%
2_1_1	10.805127009	0.38%
2_2_0	10.354245694	0.29%
2_3_0	11.071665212	1.34%
2_4_0	10.347615630	0.52%
2_5_0	10.561543358	1.26%
2_6_0	10.619430438	1.02%
2_7_0	10.712639162	0.18%
2_8_0	10.673941908	0.30%
2_9_0	12.827800105	1.77%
2_9_1	11.131551273	1.17%
3_0_0	10.876901733	0.41%
3_10_0	11.810244454	0.37%
3_11_0	11.641361499	0.22%
3_1_0	12.985956326	1.55%
3_2_0	12.812252313	0.27%
3_3_0	12.620854801	0.39%
3_4_0	12.341940333	0.16%
3_5_0	12.736360115	1.27%
3_6_0	11.883353646	0.95%
3_7_0	11.687736564	0.37%
3_8_0	11.159728194	0.87%
3_9_0	10.868677831	0.20%
4_0_0	11.324677203	0.39%
4_10_0	11.229333358	0.25%
4_11_0	11.368583107	0.12%
4_1_0	11.165273615	0.34%
4_2_0	11.098307708	0.17%
4_3_0	11.218461787	0.24%
4_4_0	11.124936137	0.32%
4_5_0	11.246042317	0.38%
4_6_0	11.275664828	0.31%
4_7_0	11.242945552	0.21%
4_8_0	11.607553390	0.25%
4_9_0	11.607612915	0.31%
5_0_0	11.781507769	1.44%
5_10_0	11.790934915	0.42%
5_1_0	11.798801775	0.12%
5_2_0	11.679584267	0.24%
5_3_0	11.821174654	0.65%
5_4_0	12.074018223	0.33%
5_5_0	12.110690049	0.40%
5_6_0	12.040647140	0.17%
5_7_0	12.088817348	0.28%
5_9_0	12.084811623	0.27%
6_0_0	11.869286920	1.13%
6_1_0	11.455888763	0.23%
6_2_0	11.467706057	0.74%
6_3_0	11.380490936	0.63%
6_4_0	11.349187959	0.25%
6_5_0	11.559938497	0.60%
0pcc-gh1080	11.990599751	0.24%
0pcc-opt-gh1080	11.827557829	0.19%
