2_8_0-0-gf61b1d2	34.458105647	0.47%
2_8_0-0-gf61b1d2	34.229872681	0.18%
2_7_0-488-g768c9f7	34.284971447	0.41%
2_7_0-487-g2a9a034	34.223405963	0.24%
2_7_0-486-g5322c51	36.233031764	2.98%
2_7_0-485-g5e7c67a	34.173439412	0.29%
2_7_0-484-g32a21de	34.095624892	0.10%
2_7_0-483-g42d331a	36.093012692	3.20%
2_7_0-482-g1f2a5c0	35.379795460	2.87%
2_7_0-481-gc990de2	35.120641834	2.73%
2_7_0-479-gfabb1bf	34.154916885	0.05%
2_7_0-478-g8b25653	34.411128640	0.05%
2_7_0-477-g9cb91bd	34.152510036	0.11%
2_7_0-476-g51bdf49	34.163249484	0.38%
2_7_0-475-gbe0fbdb	34.155157013	0.05%
2_7_0-474-g3743104	33.935697184	0.19%
2_7_0-473-g2258f03	34.031350893	0.15%
2_7_0-472-g7f213aa	34.111664484	0.16%
2_7_0-471-g95dfaef	34.409275568	0.45%
2_7_0-470-gf3165df	34.601126775	0.32%
2_7_0-469-gc4d1cd5	34.333746728	0.15%
2_7_0-468-g7549a97	34.179658283	0.09%
2_7_0-467-g53a2640	34.113163115	0.09%
2_7_0-466-gcc793e7	34.271550314	0.06%
2_7_0-465-ga1378a1	34.277036552	0.20%
2_7_0-464-ga67548e	34.408300415	0.17%
2_7_0-463-g6120e2f	28.699432376	16.29%
2_7_0-462-gb984a2c	14.948903834	0.44%
2_7_0-461-g900c0f7	34.351607031	0.17%
2_7_0-460-gd7c6671	34.277324461	0.16%
2_7_0-459-ga94cf2f	14.908825400	0.24%
2_7_0-458-g8dd3dd8	34.192940333	0.24%
2_7_0-457-g3024c36	34.147773782	0.16%
2_7_0-456-g2248533	14.788863753	0.14%
2_7_0-455-g5e4864a	34.161215146	0.12%
2_7_0-454-gd0b064d	29.632689917	15.19%
2_7_0-453-gb1b07cd	14.856924105	0.12%
2_7_0-452-gc1818ba	14.831525499	0.33%
2_7_0-451-g7bad776	34.045613455	0.10%
2_7_0-450-gc2b4c37	29.621588316	15.87%
2_7_0-449-g318985b	14.960498517	0.68%
2_7_0-448-g7da6537	15.006171143	0.38%
2_7_0-447-gc752932	30.750721449	11.60%
2_7_0-446-gb542783	14.910583189	0.18%
2_7_0-445-g260da95	14.974972828	0.24%
2_7_0-444-g21b4f36	34.509900988	0.13%
2_7_0-443-geede206	34.325692508	0.10%
2_7_0-442-g0eec564	15.005915941	0.54%
2_7_0-441-g29af10a	15.006181298	0.41%
2_7_0-440-g98c8dbe	34.304659572	0.19%
2_7_0-439-g111d33a	25.319412461	20.90%
2_7_0-438-g7be4de1	14.952766220	0.13%
2_7_0-437-gf8996f4	34.447522313	0.42%
2_7_0-436-g7dd948d	20.863990547	22.19%
2_7_0-435-g85c911d	14.991187786	0.83%
2_7_0-434-g9a7c774	15.082550149	0.43%
2_7_0-433-gb544db3	34.258994050	0.17%
2_7_0-432-g30a7298	33.216713613	3.19%
2_7_0-431-g1d56ff4	14.924227719	0.41%
2_7_0-430-gd38e43a	14.945651538	0.12%
2_7_0-429-ge0cfb87	34.363251050	0.23%
2_7_0-428-g1d43962	26.129373890	19.09%
2_7_0-427-gfef506e	15.041214174	0.14%
2_7_0-426-g837759f	15.047526070	0.45%
2_7_0-425-gff653ce	34.507712943	0.10%
2_7_0-424-g4f0aab4	15.004188143	0.14%
2_7_0-423-g9c80f25	15.021206178	0.27%
2_7_0-422-gc103908	32.456745343	5.61%
2_7_0-421-g97402dd	15.025967961	0.21%
2_7_0-420-g6aefaf0	15.060532532	0.36%
2_7_0-419-gd0b25ca	34.279308437	0.10%
2_7_0-418-g6623c64	24.027704745	22.07%
2_7_0-417-g9d12155	14.930259682	0.26%
2_7_0-416-gc2c5d1f	34.416900170	0.03%
2_7_0-415-g08ad35f	25.387001727	20.75%
2_7_0-414-ga9370fc	14.909121926	0.10%
2_7_0-413-g607414c	34.469120139	0.16%
2_7_0-412-g1af606c	24.952249714	22.18%
2_7_0-411-ga2209f3	15.040221842	0.31%
2_7_0-410-g9edaf75	34.550734560	0.20%
2_7_0-409-g24a4214	25.949039745	19.43%
2_7_0-408-ge0a6e78	15.063952671	0.36%
2_7_0-407-g2976f12	34.589658788	0.18%
2_7_0-406-g69f5a3e	25.868569401	19.33%
2_7_0-405-g6df1b4d	14.997923006	0.62%
2_7_0-404-g299ba82	14.983608825	0.21%
2_7_0-403-ge0aa442	34.405764980	0.14%
2_7_0-402-gdb9c981	14.974639948	0.28%
2_7_0-401-gcffa138	14.990510553	0.04%
2_7_0-400-ga33acc7	34.469313546	0.32%
2_7_0-399-g0760f2f	28.551471304	16.06%
2_7_0-398-g0eab640	15.161476760	0.61%
2_7_0-397-g9548276	15.053997478	1.09%
